Headline,Link,Dem,Rep,Combined,url,score,quality_quality_sources_score,quality_self_promotion_score,quality_diversity_sources_score,quality_quotes_score,quality_quotes_score,quality_source_credibility_score,quality_author_history_score,quality_opinion_score
t_Democrat  suggested  voter  fraud  and  no  one  called  him  on  it.png,https://www.cnn.com/2021/10/26/politics/terry-mcauliffe-voter-fraud-stacey-abrams/index.html,3.09,4.29,3.69,https://www.cnn.com/2021/10/26/politics/terry-mcauliffe-voter-fraud-stacey-abrams/index.html,54.0,0.875,0.5,0.6,1.0,1.0,0.5,0.64,0.06
t_Democrate  move  towards  billionaires  tax.png,https://www.nytimes.com/2021/10/22/us/politics/sinema-wealth-taxes.html,3.86,3.46,3.66,https://www.nytimes.com/2021/10/22/us/politics/sinema-wealth-taxes.html,77.0,1.0,0.0,0.2,1.0,1.0,0.8,0.79,0.84
t_democrats  accused  of  prioritizing  social  spending.png,https://thehill.com/policy/defense/budget-appropriations/579709-gop-senators-accuse-democrats-of-prioritizing-social,3.61,3.95,3.78,https://thehill.com/policy/defense/budget-appropriations/579709-gop-senators-accuse-democrats-of-prioritizing-social,69.0,1.0,0.0,0.2,0.0,0.0,0.8,0.75,1.0
t_democrats  blocking  Biden  agenda  represent  nations  poorest.png,https://www.theguardian.com/us-news/2021/oct/11/joe-manchin-henry-cuellar-reconciliation-bill-poverty,3.65,3.57,3.61,https://www.theguardian.com/us-news/2021/oct/11/joe-manchin-henry-cuellar-reconciliation-bill-poverty,74.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.56
t_democrats  fail  to  help  cannabis  industry.png,https://www.politico.com/news/2021/11/06/cannabis-industry-investours-sour-519742,3.06,3.77,3.415,https://www.politico.com/news/2021/11/06/cannabis-industry-investours-sour-519742,74.0,1.0,1.0,0.4,1.0,1.0,0.8,0.52,1.0
t_Dems  having  a  unity  problem.png,https://www.npr.org/2021/10/10/1044019366/democrats-are-having-a-unity-problem-thats-familiar-territory-for-them,4.09,4.33,4.21,https://www.npr.org/2021/10/10/1044019366/democrats-are-having-a-unity-problem-thats-familiar-territory-for-them,68.0,1.0,0.0,0.2,1.0,1.0,0.8,0.73,0.73
t_executive  order  to  alleviate  California  port  congestion.png,https://www.cnn.com/2021/10/20/economy/california-port-supply-chain/index.html,4.36,4.05,4.205,https://www.cnn.com/2021/10/20/economy/california-port-supply-chain/index.html,59.0,0.5,0.0,0.2,1.0,1.0,0.5,0.64,1.0
t_facebook  to  settle  discrimination  claims.png,https://www.cnn.com/2021/10/19/politics/facebook-justice-settlement/index.html,3.93,3.79,3.86,https://www.cnn.com/2021/10/19/politics/facebook-justice-settlement/index.html,45.0,0.0,0.0,0.0,1.0,1.0,0.5,0.67,0.56
t_first  X  gender  passport  in  USA.png,https://www.nbcnews.com/nbc-out/out-politics-and-policy/united-states-issues-its-1st-passport-x-gender-marker-n1282486,4.03,4.36,4.195,https://www.nbcnews.com/nbc-out/out-politics-and-policy/united-states-issues-its-1st-passport-x-gender-marker-n1282486,87.0,1.0,0.5,0.8,1.0,1.0,0.8,0.83,1.0
t_fossil  fuel  industry  has  largest  delegation  at  climate  summit.png,https://www.bbc.com/news/science-environment-59199484,3.93,3.4,3.665,https://www.bbc.com/news/science-environment-59199484,86.0,1.0,0.5,0.6,1.0,1.0,1.0,0.82,1.0
t_Gaetz  cannot  practice  law  in  Florida  now.png,https://www.nydailynews.com/news/politics/us-elections-government/ny-us-florida-rep-mat-gaetz-can-no-longer-practice-law-due-to-delinquent-fees-20211022-q24c7tkqajcghl5ny455o4beei-story.html,4.63,3.7,4.165,,,,,,,,,,
t_Gates  foundation  money  for  COVID  pills  to  poor  countries.png,https://www.nytimes.com/2021/10/20/health/covid-molnupiravir-gates-foundation.html,4.13,4.32,4.225,https://www.nytimes.com/2021/10/20/health/covid-molnupiravir-gates-foundation.html,73.0,1.0,0.0,0.2,1.0,1.0,0.8,0.75,1.0
t_Germany  named  best  country  in  the  world.png,https://www.msn.com/en-gb/travel/news/germany-named-best-country-in-world-for-fifth-year-running-in-survey/ar-AAQkeBZ,3.67,3.02,3.345,,,,,,,,,,
t_GOP  calls  for  Fauci  resignation.png,https://www.foxnews.com/politics/gop-calls-fauci-investigation-resignation-mount-after-nih-admits-funding-gain-of-function-research,3.19,4.19,3.69,,,,,,,,,,
t_gun  control  advocate  dies.png,https://www.nytimes.com/2021/11/06/us/mark-glaze-influential-gun-control-advocate-dies-at-51.html,4.28,4.0,4.14,https://www.nytimes.com/2021/11/06/us/mark-glaze-influential-gun-control-advocate-dies-at-51.html,74.0,1.0,0.0,0.2,1.0,1.0,0.8,0.79,1.0
t_haley  calls  for  cognitive  test  for  older  politicians.png,https://thehill.com/homenews/media/580156-nikki-haley-calls-for-a-cognitive-test-for-older-politicians,3.61,4.0,3.805,https://thehill.com/homenews/media/580156-nikki-haley-calls-for-a-cognitive-test-for-older-politicians,67.0,1.0,0.0,0.2,1.0,1.0,0.8,0.75,0.65
t_Judge  to  hear  Trumps  case  against  Jan  6  committee.png,https://thehill.com/regulation/578082-judge-to-hear-trumps-case-against-jan-6-committee-in-november,4.57,3.83,4.2,,,,,,,,,,
t_justice  dept  sues  Texas  over  voting  law.png,https://usa.inquirer.net/86531/us-justice-department-sues-texas-over-state-voting-law,3.65,4.14,3.895,https://usa.inquirer.net/86531/us-justice-department-sues-texas-over-state-voting-law,59.0,1.0,0.0,0.2,1.0,1.0,0.8,0.0,0.51
t_Kamala  engages  with  heckler.png,https://thehill.com/homenews/administration/578061-kamala-harris-engages-with-heckler-during-new-york-speech,4.27,4.35,4.31,,,,,,,,,,
t_Levine  transgender  officer.png,https://www.usatoday.com/story/news/health/2021/10/19/rachel-levine-sworn-first-openly-transgender-4-star-officer/8472289002/,4.25,4.3,4.275,https://www.usatoday.com/story/news/health/2021/10/19/rachel-levine-sworn-first-openly-transgender-4-star-officer/8472289002/,65.0,1.0,0.0,0.4,0.0,0.0,0.8,0.5,1.0
t_Maine  passes  right  to  food.png,https://thehill.com/regulation/legislation/579819-maine-voters-pass-first-right-to-food-amendment-in-us,3.64,3.91,3.775,https://thehill.com/regulation/legislation/579819-maine-voters-pass-first-right-to-food-amendment-in-us,76.0,1.0,1.0,0.2,1.0,1.0,0.8,0.76,1.0
t_marjories  taylor  fines  for  not  wearing  masks.png,https://www.usatoday.com/story/news/politics/2021/11/03/georgia-marjorie-taylor-greene-fined-not-wearing-mask/6266741001/,4.31,4.02,4.165,https://www.usatoday.com/story/news/politics/2021/11/03/georgia-marjorie-taylor-greene-fined-not-wearing-mask/6266741001/,78.0,0.9166666666666666,0.5,1.0,0.0,0.0,0.8,0.75,1.0
t_migrant  caravan  headed  to  US  border.png,https://www.foxnews.com/politics/migrant-caravan-travels-mexico-towards-us-border-tell-biden,3.69,4.5,4.095,,,,,,,,,,
t_military  jury  disgusted  by  cia  torture.png,https://www.nytimes.com/2021/11/06/us/politics/military-jury-cia-torture.html,3.55,4.02,3.785,https://www.nytimes.com/2021/11/06/us/politics/military-jury-cia-torture.html,66.0,1.0,0.0,0.2,1.0,1.0,0.8,0.77,0.45
t_most  republicans  say  climate  change  not  emergency.png,https://news.yahoo.com/poll-more-than-two-thirds-of-republicans-say-climate-change-is-not-an-emergency-185118987.html,4.39,3.8,4.095,https://news.yahoo.com/poll-more-than-two-thirds-of-republicans-say-climate-change-is-not-an-emergency-185118987.html,50.0,0.0,1.0,0.2,1.0,1.0,0.5,0.48,1.0
t_NYC  vaccine  mandate.png,https://www.nytimes.com/2021/10/20/nyregion/nyc-vaccine-mandate.html,4.69,4.22,4.455,https://www.nytimes.com/2021/10/20/nyregion/nyc-vaccine-mandate.html,78.0,0.9615384615384616,0.0,1.0,1.0,1.0,0.8,0.56,0.83
t_Obama  denounces  Trump  GOP  for  hostility  towards  climate  science.png,https://www.nbcnews.com/politics/politics-news/obama-denounces-trump-gop-active-hostility-toward-climate-science-cop26-n1283473,4.0,4.09,4.045,https://www.nbcnews.com/politics/politics-news/obama-denounces-trump-gop-active-hostility-toward-climate-science-cop26-n1283473,76.0,1.0,0.0,0.2,1.0,1.0,0.8,0.78,1.0
t_Omar  says  Democrats  not  nixing  filibuster  are  killing  democracy.png,https://www.foxnews.com/politics/omar-senate-democrats-killing-democracy-filibuster,3.73,4.3,4.015,,,,,,,,,,
t_Pelosi  delays  bill  in  defeat  for  democrats.png,https://www.theguardian.com/us-news/2021/sep/30/biden-nancy-pelosi-infrastructure-bill,3.92,3.77,3.845,https://www.theguardian.com/us-news/2021/sep/30/biden-nancy-pelosi-infrastructure-bill,74.0,1.0,0.0,0.2,1.0,1.0,0.8,0.8,0.84
t_pence  defied  trump  out  of  duty.png,https://www.usatoday.com/story/news/politics/2021/11/02/mike-pence-reasons-defying-trump/6257800001/,3.77,4.0,3.885,https://www.usatoday.com/story/news/politics/2021/11/02/mike-pence-reasons-defying-trump/6257800001/,78.0,1.0,1.0,0.2,1.0,1.0,0.8,0.74,1.0
t_pennState  blasted  for  antiracism  in  job  desc.png,https://www.foxnews.com/us/pennsylvania-college-asks-architecture-professor-applicants-to-show-committment-to-anti-racism,3.65,3.61,3.63,,,,,,,,,,
t_politico  calls  out  Biden  for  not  doing  interviews.png,https://www.foxnews.com/media/politico-calls-out-biden-not-doing-interviews,3.47,4.22,3.845,,,,,,,,,,
t_pope  called  biden  a  good  catholic.png,https://www.usatoday.com/story/news/politics/2021/10/29/joe-biden-pope-francis-meet-vatican/8575171002/,4.34,3.74,4.04,https://www.usatoday.com/story/news/politics/2021/10/29/joe-biden-pope-francis-meet-vatican/8575171002/,58.0,1.0,0.0,0.2,0.0,0.0,0.8,0.5,0.62
t_record  southern  border  arrests  in  USA.png,https://www.cnn.com/2021/10/22/politics/us-border-patrol-record-arrests-2020/index.html,3.86,4.6,4.23,https://www.cnn.com/2021/10/22/politics/us-border-patrol-record-arrests-2020/index.html,59.0,0.5,0.0,0.2,1.0,1.0,0.5,0.65,1.0
t_registered  republicans  overtake  dems  in  florida.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwi3mb_C9cr1AhUal4kEHd4aC1UQFnoECBAQAQ&url=https%3A%2F%2Fwww.miamiherald.com%2Fnews%2Fpolitics-government%2Fstate-politics%2Farticle255575861.html&usg=AOvVaw0H0skVBclPjZBHSD7H4jT4,3.9,4.6,4.25,,,,,,,,,,
t_republicans  break  filibuster.png,https://www.cnn.com/2021/10/07/politics/republican-debt-ceiling-filibuster-list/index.html,3.64,4.18,3.91,,,,,,,,,,
t_republicans  embrace  Trump  not  pay  debts.png,https://www.nbcnews.com/politics/politics-news/latest-fight-republicans-embrace-trump-ethos-don-t-pay-debts-n1280834,3.48,2.14,2.81,https://www.nbcnews.com/politics/politics-news/latest-fight-republicans-embrace-trump-ethos-don-t-pay-debts-n1280834,81.0,1.0,0.5,0.8,1.0,1.0,0.8,0.79,1.0
t_republicans  voted  for  Biden's  bill.png,https://www.yahoo.com/news/13-house-republicans-defied-kevin-040103671.html,3.83,4.44,4.135,https://www.yahoo.com/news/13-house-republicans-defied-kevin-040103671.html,72.0,0.9166666666666666,1.0,0.6,0.0,0.0,0.5,0.76,1.0
t_SC  justices  skeptical  of  Texas  abortion  law.png,https://www.usatoday.com/story/news/politics/2021/11/01/supreme-court-weighs-texas-ban-abortions-after-six-weeks/8568006002/,3.98,4.38,4.18,https://www.usatoday.com/story/news/politics/2021/11/01/supreme-court-weighs-texas-ban-abortions-after-six-weeks/8568006002/,74.0,1.0,0.0,0.2,0.0,0.0,0.8,0.76,1.0
t_SC  takes  case  on  whether  officers  can  be  sued  for  excess  force.png,https://www.usatoday.com/story/news/politics/2021/11/05/excessive-force-supreme-court-takes-case-suing-federal-officers/6278893001/,4.07,4.03,4.05,https://www.usatoday.com/story/news/politics/2021/11/05/excessive-force-supreme-court-takes-case-suing-federal-officers/6278893001/,64.0,1.0,0.0,0.2,0.0,0.0,0.8,0.71,0.7
t_service  members  refuse  covid  shot.png,https://www.nbcnews.com/news/military/about-12-000-members-air-force-space-force-not-vaccinated-n1282872,3.98,4.44,4.21,https://www.nbcnews.com/news/military/about-12-000-members-air-force-space-force-not-vaccinated-n1282872,73.0,1.0,0.0,0.2,0.0,0.0,0.8,0.79,1.0
t_Sinema  earns  republican  respect.png,https://www.ft.com/content/6e0b6e85-30e1-46a4-b380-29c9eba66bff,4.28,3.79,4.035,https://www.ft.com/content/6e0b6e85-30e1-46a4-b380-29c9eba66bff,63.0,1.0,0.0,0.2,1.0,1.0,0.8,0.45,0.66
t_states  sue  Biden  for  stopping  border  wall.png,https://www.cnn.com/2021/10/21/politics/texas-missouri-lawsuit-biden-admin/index.html,3.79,4.43,4.11,https://www.cnn.com/2021/10/21/politics/texas-missouri-lawsuit-biden-admin/index.html,58.0,0.5,0.0,0.2,1.0,1.0,0.5,0.65,1.0
t_students  mental  health  plan.png,https://www.cnn.com/2021/10/19/politics/biden-administration-students-mental-health/index.html,4.17,3.6,3.885,https://www.cnn.com/2021/10/19/politics/biden-administration-students-mental-health/index.html,59.0,0.5,0.0,0.2,1.0,1.0,0.5,0.68,1.0
t_taxpayers  pay  for  Blasios  trip.png,https://nypost.com/2021/11/06/taxpayers-foot-bill-for-de-blasios-trip-to-somos-in-puerto-rico/,3.91,3.85,3.88,https://nypost.com/2021/11/06/taxpayers-foot-bill-for-de-blasios-trip-to-somos-in-puerto-rico/,58.0,0.5,0.0,0.4,0.0,0.0,0.5,0.62,1.0
t_teachers  sue  over  Oklahomas  ban  on  CRT.png,https://www.npr.org/2021/10/20/1047519861/aclu-sues-over-oklahoma-law-on-critical-race-theory,4.17,3.68,3.925,https://www.npr.org/2021/10/20/1047519861/aclu-sues-over-oklahoma-law-on-critical-race-theory,81.0,0.8333333333333334,1.0,0.8,1.0,1.0,0.8,0.79,0.83
t_Texas  abortion  ban  upheld  by  federal  appeals  court.png,https://abcnews.go.com/Politics/video/texas-abortion-ban-upheld-federal-appeals-court-80598792,4.4,4.46,4.43,,,,,,,,,,
t_Texas  congressional  maps.png,https://www.cnn.com/2021/10/20/politics/texas-redistricting-senate-voting-rights/index.html?cid=external-feeds_iluminar_newsbreak,3.98,4.14,4.06,https://www.cnn.com/2021/10/20/politics/texas-redistricting-senate-voting-rights/index.html?cid=external-feeds_iluminar_newsbreak,63.0,0.75,0.0,0.6,1.0,1.0,0.5,0.65,0.84
t_truckers  exempt  from  Bidens  vax  mandate.png,https://news.yahoo.com/trucking-industry-hails-huge-victory-151814639.html,3.59,3.37,3.48,https://news.yahoo.com/trucking-industry-hails-huge-victory-151814639.html,70.0,0.7307692307692307,0.5,1.0,1.0,1.0,0.5,0.48,1.0
t_trump  allies  discuss  election  fraud  claims.png,https://www.cnn.com/2021/11/04/politics/rudy-giuliani-sidney-powell-deposition-tapes/index.html,4.11,3.72,3.915,https://www.cnn.com/2021/11/04/politics/rudy-giuliani-sidney-powell-deposition-tapes/index.html,43.0,0.5,0.0,0.2,1.0,1.0,0.5,0.66,0.06
t_trump  beats  biden  in  latest   24  poll.png,https://www.newsweek.com/donald-trump-beats-joe-biden-latest-2024-election-poll-1646713,3.1,3.67,3.385,https://www.newsweek.com/donald-trump-beats-joe-biden-latest-2024-election-poll-1646713,65.0,0.5,0.0,0.4,1.0,1.0,0.5,0.68,1.0
t_Trump  did  not  intend  to  attack  Chinese.png,https://www.theguardian.com/us-news/live/2021/sep/28/general-mark-milley-senate-hearing-trump-us-politics-live,3.92,3.78,3.85,,,,,,,,,,
t_trump  russia  dosier  analyst  charged  with  lying.png,https://apnews.com/article/europe-russia-arrests-john-durham-9d2344081036235309346ad95b14a8bc,4.11,3.62,3.865,,,,,,,,,,
t_Trump  urges  investigation  t  slow  down.png,https://www.politico.com/news/2021/11/02/trump-executive-privilege-jan6-518637,4.76,4.38,4.57,https://www.politico.com/news/2021/11/02/trump-executive-privilege-jan6-518637,73.0,1.0,0.0,0.4,1.0,1.0,0.8,0.72,0.84
t_Trump  wins  Ohio  primary.png,https://www.foxnews.com/politics/trump-winner-progressives-losers-ohio-primaries,3.31,4.41,3.86,https://www.foxnews.com/politics/trump-winner-progressives-losers-ohio-primaries,65.0,0.5,0.0,0.4,1.0,1.0,0.5,0.68,1.0
t_truth  social  network  by  Trump.png,https://www.foxnews.com/politics/trump-announces-truth-social-network-will-be-rolled-out-nationwide-in-first-quarter-of-2022,3.65,4.36,4.005,,,,,,,,,,
t_US  ambassador  backs  security  assistance  to  Taiwan.png,https://www.cnn.com/2021/10/20/politics/nicholas-burns-confirmation-hearing/index.html,4.11,3.62,3.865,https://www.cnn.com/2021/10/20/politics/nicholas-burns-confirmation-hearing/index.html,59.0,0.625,0.0,0.4,1.0,1.0,0.5,0.64,0.83
t_US  deficit  2nd  largest.png,https://www.foxbusiness.com/economy/us-federal-budget-deficit-2-8t-second-largest,4.2,4.78,4.49,,,,,,,,,,
t_US  kills  senior  al  Qaeda  leader  in  Syria  airstrike.png,https://www.cnn.com/2021/10/22/politics/us-kills-al-qaeda-leader-syria-airstrike/index.html,4.31,3.67,3.99,,,,,,,,,,
t_US  to  use  Pak  airspace  for  military  operations.png,https://www.cnn.com/2021/10/22/politics/us-pakistan-afghanistan-airspace/index.html,3.42,3.51,3.465,https://www.cnn.com/2021/10/22/politics/us-pakistan-afghanistan-airspace/index.html,45.0,0.5,0.0,0.2,1.0,1.0,0.5,0.4,0.62
t_USA  rejoins  UNHRC.png,https://www.cnn.com/2021/10/14/politics/us-united-nations-human-rights-council/index.html,4.27,4.09,4.18,https://www.cnn.com/2021/10/14/politics/us-united-nations-human-rights-council/index.html,45.0,0.5,0.0,0.2,1.0,1.0,0.5,0.66,0.19
t_vaccinated  senators  positive  for  covid.png,https://www.foxnews.com/politics/vaccinated-senators-test-positive-covid-19,4.54,4.35,4.445,,,,,,,,,,
t_Virginia  governor  will  welcome  Maryland  counties.png,https://www.cnn.com/2021/10/22/politics/west-virginia-jim-justice-maryland-counties/index.html,3.54,3.15,3.345,https://www.cnn.com/2021/10/22/politics/west-virginia-jim-justice-maryland-counties/index.html,57.0,0.5,0.0,0.2,1.0,1.0,0.5,0.65,1.0
t_Walmart  donated  to  Texas  governor.png,https://www.cnbc.com/2021/10/19/walmart-donated-to-texas-gov-greg-abbott-as-he-fought-biden-vaccine-mandate.html,3.94,3.56,3.75,https://www.cnbc.com/2021/10/19/walmart-donated-to-texas-gov-greg-abbott-as-he-fought-biden-vaccine-mandate.html,82.0,1.0,0.0,0.6,1.0,1.0,0.8,0.81,1.0
t_Warren  private  equity  crackdown.png,https://www.cnbc.com/2021/10/20/top-democrats-revive-legislation-to-crack-down-on-private-equity-buyouts.html,3.68,3.54,3.61,https://www.cnbc.com/2021/10/20/top-democrats-revive-legislation-to-crack-down-on-private-equity-buyouts.html,79.0,1.0,0.0,0.4,1.0,1.0,0.8,0.78,1.0
t_Washington  workers  refuse  COVID  vaccine.png,https://www.usatoday.com/story/news/nation/2021/10/20/washington-state-loses-1-800-workers-amid-covid-vaccine-mandate/8536411002/,4.23,4.26,4.245,https://www.usatoday.com/story/news/nation/2021/10/20/washington-state-loses-1-800-workers-amid-covid-vaccine-mandate/8536411002/,68.0,1.0,0.5,0.6,1.0,1.0,0.8,0.5,0.67
t_white  house  plan  for  vaccinating  kids.png,https://www.cbsnews.com/news/covid-19-vaccine-28-million-children-white-house-plan/,4.85,4.62,4.735,https://www.cbsnews.com/news/covid-19-vaccine-28-million-children-white-house-plan/,65.0,1.0,0.0,0.2,1.0,1.0,0.8,0.0,1.0
t_white  male  minority  rule  in  US  politics.png,https://www.theguardian.com/us-news/2021/may/26/white-male-minority-rule-us-politics-research,3.77,3.1,3.435,https://www.theguardian.com/us-news/2021/may/26/white-male-minority-rule-us-politics-research,82.0,1.0,0.5,1.0,1.0,1.0,0.8,0.84,0.75
t_youngkin  got  boost  from  blasting  crt.png,https://news.yahoo.com/youngkins-pushback-against-critical-race-090045732.html,4.22,4.21,4.215,https://news.yahoo.com/youngkins-pushback-against-critical-race-090045732.html,74.0,1.0,1.0,1.0,1.0,1.0,0.5,0.73,0.5
t_youngkins  underage  son  tried  to  vote  twice.png,https://www.nbcnews.com/politics/politics-news/gov-elect-youngkin-s-underage-son-tried-vote-twice-virginia-n1283376,3.95,3.13,3.54,https://www.nbcnews.com/politics/politics-news/gov-elect-youngkin-s-underage-son-tried-vote-twice-virginia-n1283376,83.0,1.0,0.0,0.8,1.0,1.0,0.8,0.79,1.0
t_Zuckerberg  testify  Instagram  impact  on  kids.png,https://www.cnbc.com/2021/10/20/sen-blumenthal-asks-zuckerberg-to-testify-about-instagrams-impact-on-kids.html,4.02,4.0,4.01,https://www.cnbc.com/2021/10/20/sen-blumenthal-asks-zuckerberg-to-testify-about-instagrams-impact-on-kids.html,81.0,1.0,0.0,0.6,1.0,1.0,0.8,0.82,1.0
